id,start_date,end_date,zone_grid_filename
52,2014-04-01,2014-04-30,sw_watershed_obs_zones_1000m.asc
53,2014-05-01,2014-05-31,sw_watershed_obs_zones_1000m.asc
54,2014-06-01,2014-06-30,sw_watershed_obs_zones_1000m.asc
55,2014-07-01,2014-07-31,sw_watershed_obs_zones_1000m.asc
56,2014-08-01,2014-08-31,sw_watershed_obs_zones_1000m.asc
57,2014-09-01,2014-09-30,sw_watershed_obs_zones_1000m.asc
58,2014-10-01,2014-10-31,sw_watershed_obs_zones_1000m.asc
59,2014-11-01,2014-11-30,sw_watershed_obs_zones_1000m.asc
60,2014-12-01,2014-12-31,sw_watershed_obs_zones_1000m.asc
61,2000-01-01,2000-12-31,sw_watershed_obs_zones_1000m.asc
62,2001-01-01,2001-12-31,sw_watershed_obs_zones_1000m.asc
63,2002-01-01,2002-12-31,sw_watershed_obs_zones_1000m.asc
64,2003-01-01,2003-12-31,sw_watershed_obs_zones_1000m.asc
65,2004-01-01,2004-12-31,sw_watershed_obs_zones_1000m.asc
66,2005-01-01,2005-12-31,sw_watershed_obs_zones_1000m.asc
67,2006-01-01,2006-12-31,sw_watershed_obs_zones_1000m.asc
68,2007-01-01,2007-12-31,sw_watershed_obs_zones_1000m.asc
69,2008-01-01,2008-12-31,sw_watershed_obs_zones_1000m.asc
70,2009-01-01,2009-12-31,sw_watershed_obs_zones_1000m.asc
71,2010-01-01,2010-12-31,sw_watershed_obs_zones_1000m.asc
72,2011-01-01,2011-12-31,sw_watershed_obs_zones_1000m.asc
73,2012-01-01,2012-12-31,sw_watershed_obs_zones_1000m.asc
74,2013-01-01,2013-12-31,sw_watershed_obs_zones_1000m.asc
75,2014-01-01,2014-12-31,sw_watershed_obs_zones_1000m.asc
76,2015-01-01,2015-12-31,sw_watershed_obs_zones_1000m.asc
77,2016-01-01,2016-12-31,sw_watershed_obs_zones_1000m.asc
78,2017-01-01,2017-12-31,sw_watershed_obs_zones_1000m.asc
79,2018-01-01,2018-12-31,sw_watershed_obs_zones_1000m.asc
